papel,chamadas,chamadas_por_dia,ms_medio,consulta
service_role,34489,150,0.7,"WITH pgrst_source AS (UPDATE ""public"".""seinfra_itens"" SET ""composicao"" = ""pgrst_body"".""composicao"" FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""composicao"" FROM json_to_record(pgrst_payload.json_data) AS _(""composicao"" jsonb) ) pgrst_body WHERE ""public"".""seinfra_itens"".""codigo"" = $2 AND ""public"".""seinfra_itens"".""tipo_encargo"" = $3 RETURNING ""public"".""seinfra_itens"".*) SELECT $4 AS"
authenticated,24745,107,3.4,"WITH pgrst_source AS ( SELECT ""public"".""app_atividades"".* FROM ""public"".""app_atividades"" ORDER BY ""public"".""app_atividades"".""created_at"" DESC LIMIT $1 OFFSET $2 ) SELECT $3::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $4) AS body, nullif(current_setting($5, $6), $7) AS response_headers, nullif(current_setting($8, $9), $10) AS response_"
authenticated,24634,107,274.3,"WITH pgrst_source AS ( SELECT ""public"".""seinfra_itens"".* FROM ""public"".""seinfra_itens"" WHERE ""public"".""seinfra_itens"".""referencia"" = $1 LIMIT $2 OFFSET $3 ) , pgrst_source_count AS (SELECT $5 FROM ""public"".""seinfra_itens"" WHERE ""public"".""seinfra_itens"".""referencia"" = $4) SELECT (SELECT pg_catalog.count(*) FROM pgrst_source_count) AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, $"
authenticated,22607,98,54.2,"WITH pgrst_source AS ( SELECT ""public"".""composicoes_biblioteca"".* FROM ""public"".""composicoes_biblioteca"" ORDER BY ""public"".""composicoes_biblioteca"".""usuario"" ASC , ""public"".""composicoes_biblioteca"".""subcategoria"" ASC , ""public"".""composicoes_biblioteca"".""descricao"" ASC LIMIT $1 OFFSET $2 ) SELECT $3::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgr"
service_role,20510,89,1.2,"WITH pgrst_source AS (UPDATE ""public"".""sinapi_itens"" SET ""composicao"" = ""pgrst_body"".""composicao"" FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""composicao"" FROM json_to_record(pgrst_payload.json_data) AS _(""composicao"" jsonb) ) pgrst_body WHERE ""public"".""sinapi_itens"".""codigo"" = $2 AND ""public"".""sinapi_itens"".""tipo_encargo"" = ANY ($3) RETURNING $4) SELECT $5 AS total_result_set, pg"
anon,20508,89,0.0,"WITH pgrst_source AS (UPDATE ""public"".""sinapi_itens"" SET ""composicao"" = ""pgrst_body"".""composicao"" FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""composicao"" FROM json_to_record(pgrst_payload.json_data) AS _(""composicao"" jsonb) ) pgrst_body WHERE ""public"".""sinapi_itens"".""codigo"" = $2 AND ""public"".""sinapi_itens"".""referencia"" = $3 AND ""public"".""sinapi_itens"".""tipo_encargo"" = $4 RETURNI"
authenticated,20215,88,0.5,"WITH pgrst_source AS (UPDATE ""public"".""processos"" SET ""data_compromisso_fiscal"" = ""pgrst_body"".""data_compromisso_fiscal"" FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""data_compromisso_fiscal"" FROM json_to_record(pgrst_payload.json_data) AS _(""data_compromisso_fiscal"" date) ) pgrst_body WHERE ""public"".""processos"".""id"" = $2 RETURNING $3) SELECT $4 AS total_result_set, pg_catalog.coun"
anon,17237,75,0.1,"WITH pgrst_source AS ( SELECT ""public"".""app_notifications"".* FROM ""public"".""app_notifications"" WHERE ""public"".""app_notifications"".""read"" = $1 ORDER BY ""public"".""app_notifications"".""created_at"" ASC LIMIT $2 OFFSET $3 ) SELECT $4::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $5) AS body, nullif(current_setting($6, $7), $8) AS response_hea"
anon,16332,71,325.0,"WITH pgrst_source AS ( SELECT ""public"".""seinfra_itens"".* FROM ""public"".""seinfra_itens"" WHERE ""public"".""seinfra_itens"".""referencia"" = $1 LIMIT $2 OFFSET $3 ) , pgrst_source_count AS (SELECT $5 FROM ""public"".""seinfra_itens"" WHERE ""public"".""seinfra_itens"".""referencia"" = $4) SELECT (SELECT pg_catalog.count(*) FROM pgrst_source_count) AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, $"
service_role,12287,53,15.2,"WITH pgrst_source AS (INSERT INTO ""public"".""historico_suite_eventos""(""capacity"", ""chave_evento"", ""dados_brutos"", ""data_evento"", ""nome"", ""nup"", ""ordem_evento"", ""permanency"", ""processo_id"", ""sincronizado_em"", ""status"", ""unidade_sigla"") SELECT ""pgrst_body"".""capacity"", ""pgrst_body"".""chave_evento"", ""pgrst_body"".""dados_brutos"", ""pgrst_body"".""data_evento"", ""pgrst_body"".""nome"", ""pgrst_body"".""nup"", ""pgrst_"
service_role,12031,52,4.1,"WITH pgrst_source AS ( SELECT ""public"".""historico_suite_eventos"".""chave_evento"" FROM ""public"".""historico_suite_eventos"" WHERE ""public"".""historico_suite_eventos"".""processo_id"" = $1 LIMIT $2 OFFSET $3 ) SELECT $4::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $5) AS body, nullif(current_setting($6, $7), $8) AS response_headers, nullif(curr"
authenticator,12016,52,0.1,BEGIN ISOLATION LEVEL READ COMMITTED READ WRITE
